relational_fraction,ratio,seed,ari_A,ari_B,ari_C,silhouette,epsilon,rho_B,observed_evr_error,theorem1_bound_evr,theorem1_holds
0.02,3.0,3011,0.0869905711184694,0.010525457785596609,0.0017498456208163856,0.32317096402144296,0.04140678769369051,0.18984952052393242,0.0071550712281428066,0.03726610892432146,True
0.02,3.0,3012,0.023636277801915136,0.006099317807193549,-0.00018725327125674216,0.31065602420385363,0.05724651759999124,0.1626765064494351,0.00626834267205445,0.05152186583999212,True
0.02,3.0,3013,0.04490331333911734,0.010359851682882915,0.005340885291226385,0.3137426833284745,0.06640897073126918,0.20555294988143116,0.00713225772268633,0.05976807365814226,True
0.02,3.0,3014,0.08860856482320822,0.008132725515817446,0.0016847970528319515,0.3106205242672467,0.06778139984222939,0.1951773205437325,0.007029455036566756,0.061003259858006455,True
0.02,4.0,3000,0.05946484879853961,0.009063925366862841,0.0034216842864272356,0.31687711109963984,0.06400840600516167,0.2407393908689237,0.00863086374583002,0.0576075654046455,True
0.02,4.0,3001,0.018984004611022082,-0.00042078691957948085,-0.0004582956499696346,0.30969089728044563,0.061232656464448885,0.21380162026234079,0.007803555497009629,0.055109390818004,True
0.02,4.0,3002,0.031713797820856114,-0.0005432075192051835,-0.0012618705123600942,0.3115414376086795,0.04370043346270895,0.17852273313960335,0.00879372120670845,0.03933039011643806,True
0.02,4.0,3003,0.05550243514734447,0.029005034349747646,-0.0016052895225664048,0.3412191524863904,0.07171418152521386,0.22903781017539154,0.008418790438212786,0.06454276337269246,True
0.02,4.0,3004,0.07356574698892943,0.012066295216064811,0.00036709889970982097,0.3213915619724266,0.044169015027687025,0.19651471051571615,0.008205790960388726,0.03975211352491832,True
0.02,4.0,3005,0.06733476669001355,-0.0017983527966088204,0.0007388785455192457,0.3017924864593161,0.04899253601006824,0.2358947777345202,0.011242734900179662,0.04409328240906142,True
0.02,4.0,3006,0.07307940185126607,0.015479835621150791,0.0007174609561082343,0.3201560799870198,0.059123602655862084,0.22336930167419944,0.009064802114324833,0.05321124239027588,True
0.02,4.0,3007,0.07263822556118042,-0.0005436481065542433,-0.00027923934249584795,0.30744715329768096,0.0409737993206454,0.197615215573853,0.006115021083552363,0.036876419388580856,True
0.02,4.0,3008,0.06693533071277331,0.014271623074111178,0.0011060222792992572,0.31873323513267726,0.054225259740940064,0.2302335542988715,0.010848995391914506,0.04880273376684606,True
0.02,4.0,3009,0.1371469317496901,0.00958913900343917,-0.0003162291037822329,0.3174380163384072,0.04471116575306757,0.19576719421944183,0.007179206478357625,0.04024004917776081,True
0.02,4.0,3010,0.10387273088783754,0.009272655430655181,-0.0008840258753857984,0.3210037389852743,0.04501013820597315,0.1939793152225527,0.00856479691851465,0.040509124385375836,True
0.02,4.0,3011,0.07733496299842677,0.0019007345412913738,0.0003749809753162502,0.31668864576282535,0.04140678769369051,0.21987464523211378,0.007135957776432588,0.03726610892432146,True
